[1451973600] LOG ROTATION: DAILY
[1451973600] LOG VERSION: 2.0
[1451973600] CURRENT HOST STATE: Customer-Service;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.218)
[1451973600] CURRENT HOST STATE: OfficeCloset;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.46 ms
[1451973600] CURRENT HOST STATE: Ownerslist11;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.74 ms
[1451973600] CURRENT HOST STATE: Ownerslist12;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1451973600] CURRENT HOST STATE: Ownerslist13;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.84)
[1451973600] CURRENT HOST STATE: Ownerslist14;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.31)
[1451973600] CURRENT HOST STATE: Ownerslist15;DOWN;SOFT;1;CRITICAL - Host Unreachable (192.168.0.252)
[1451973600] CURRENT HOST STATE: Ownerslist16;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.123)
[1451973600] CURRENT HOST STATE: Ownerslist17;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.14 ms
[1451973600] CURRENT HOST STATE: Ownerslist18;DOWN;HARD;10;(Host check timed out after 30.02 seconds)
[1451973600] CURRENT HOST STATE: Ownerslist19;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.65 ms
[1451973600] CURRENT HOST STATE: Ownerslist21;UP;SOFT;1;PING OK - Packet loss = 0%, RTA = 0.62 ms
[1451973600] CURRENT HOST STATE: Ownerslist22;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.89 ms
[1451973600] CURRENT HOST STATE: Ownerslist23;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1451973600] CURRENT HOST STATE: Ownerslist24;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.64 ms
[1451973600] CURRENT HOST STATE: Ownerslist25;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1451973600] CURRENT HOST STATE: Ownerslist26;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1451973600] CURRENT HOST STATE: Ownerslist27;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.85 ms
[1451973600] CURRENT HOST STATE: Ownerslist28;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1451973600] CURRENT HOST STATE: Ownerslist29;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.78 ms
[1451973600] CURRENT HOST STATE: Ownerslist30;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.135)
[1451973600] CURRENT HOST STATE: Ownerslist31;DOWN;HARD;10;(Host check timed out after 30.02 seconds)
[1451973600] CURRENT HOST STATE: SF220;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.245)
[1451973600] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.08 ms
[1451973600] CURRENT HOST STATE: new-pc;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.205)
[1451973600] CURRENT SERVICE STATE: Customer-Service;C:\ Drive Space;CRITICAL;HARD;3;connect to address 192.168.0.218 and port 12489: No route to host
[1451973600] CURRENT SERVICE STATE: Customer-Service;CPU Load;CRITICAL;HARD;3;connect to address 192.168.0.218 and port 12489: No route to host
[1451973600] CURRENT SERVICE STATE: Customer-Service;Explorer;CRITICAL;HARD;3;connect to address 192.168.0.218 and port 12489: No route to host
[1451973600] CURRENT SERVICE STATE: Customer-Service;Memory Usage;CRITICAL;HARD;3;connect to address 192.168.0.218 and port 12489: No route to host
[1451973600] CURRENT SERVICE STATE: Customer-Service;NSClient++ Version;CRITICAL;HARD;3;connect to address 192.168.0.218 and port 12489: No route to host
[1451973600] CURRENT SERVICE STATE: Customer-Service;Uptime;CRITICAL;HARD;3;connect to address 192.168.0.218 and port 12489: No route to host
[1451973600] CURRENT SERVICE STATE: Customer-Service;W35VC;CRITICAL;HARD;3;connect to address 192.168.0.218 and port 12489: No route to host
[1451973600] CURRENT SERVICE STATE: OfficeCloset;C:\ Drive Space;OK;HARD;1;c:\ - total: 232.35 Gb - used: 181.29 Gb (78%) - free 51.06 Gb (22%)
[1451973600] CURRENT SERVICE STATE: OfficeCloset;CPU Load;OK;HARD;1;CPU Load 15% (5 min average)
[1451973600] CURRENT SERVICE STATE: OfficeCloset;Explorer;OK;HARD;1;explorer.exe: Running
[1451973600] CURRENT SERVICE STATE: OfficeCloset;Memory Usage;OK;HARD;1;Memory usage: total:16315.38 MB - used: 6672.08 MB (41%) - free: 9643.30 MB (59%)
[1451973600] CURRENT SERVICE STATE: OfficeCloset;NSClient++ Version;OK;HARD;1;NSClient++ 0,4,1,73 2012-12-17
[1451973600] CURRENT SERVICE STATE: OfficeCloset;Uptime;OK;HARD;1;System Uptime - 0 day(s) 9 hour(s) 31 minute(s)
[1451973600] CURRENT SERVICE STATE: OfficeCloset;W35VC;CRITICAL;HARD;3;W3SVC: Not found
[1451973600] CURRENT SERVICE STATE: Ownerslist11;C:\ Drive Space;OK;HARD;1;c:\ - total: 465.66 Gb - used: 39.31 Gb (8%) - free 426.35 Gb (92%)
[1451973600] CURRENT SERVICE STATE: Ownerslist11;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1451973600] CURRENT SERVICE STATE: Ownerslist11;Explorer;CRITICAL;HARD;3;Explorer.exe: not running
[1451973600] CURRENT SERVICE STATE: Ownerslist11;Memory Usage;OK;HARD;1;Memory usage: total:3986.53 MB - used: 1535.67 MB (39%) - free: 2450.86 MB (61%)
[1451973600] CURRENT SERVICE STATE: Ownerslist11;NSClient++ Version;OK;HARD;1;NSClient++ 0.4.4.15 2015-11-25
[1451973600] CURRENT SERVICE STATE: Ownerslist11;Uptime;OK;HARD;1;System Uptime - 13 day(s) 1 hour(s) 16 minute(s)
[1451973600] CURRENT SERVICE STATE: Ownerslist11;W35VC;UNKNOWN;HARD;3;Failed to open service W3SVC: 1060: The specified service does not exist as an installed service.
