[1452319200] LOG ROTATION: DAILY
[1452319200] LOG VERSION: 2.0
[1452319200] CURRENT HOST STATE: Customer-Service;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 5.10 ms
[1452319200] CURRENT HOST STATE: OfficeCloset;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.54 ms
[1452319200] CURRENT HOST STATE: Ownerslist11;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.77 ms
[1452319200] CURRENT HOST STATE: Ownerslist12;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1452319200] CURRENT HOST STATE: Ownerslist13;DOWN;SOFT;2;CRITICAL - Host Unreachable (192.168.0.84)
[1452319200] CURRENT HOST STATE: Ownerslist14;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.31)
[1452319200] CURRENT HOST STATE: Ownerslist15;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.57 ms
[1452319200] CURRENT HOST STATE: Ownerslist16;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.71 ms
[1452319200] CURRENT HOST STATE: Ownerslist17;UP;SOFT;1;PING OK - Packet loss = 0%, RTA = 0.70 ms
[1452319200] CURRENT HOST STATE: Ownerslist18;DOWN;HARD;10;(Host check timed out after 30.02 seconds)
[1452319200] CURRENT HOST STATE: Ownerslist19;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.86 ms
[1452319200] CURRENT HOST STATE: Ownerslist21;DOWN;HARD;10;PING CRITICAL - Packet loss = 100%
[1452319200] CURRENT HOST STATE: Ownerslist22;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 4.29 ms
[1452319200] CURRENT HOST STATE: Ownerslist23;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1452319200] CURRENT HOST STATE: Ownerslist24;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.76 ms
[1452319200] CURRENT HOST STATE: Ownerslist25;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1452319200] CURRENT HOST STATE: Ownerslist26;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1452319200] CURRENT HOST STATE: Ownerslist27;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.75 ms
[1452319200] CURRENT HOST STATE: Ownerslist28;DOWN;HARD;10;check_ping: Invalid hostname/address - 192.168.0.
[1452319200] CURRENT HOST STATE: Ownerslist29;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.60 ms
[1452319200] CURRENT HOST STATE: Ownerslist30;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.135)
[1452319200] CURRENT HOST STATE: Ownerslist31;DOWN;HARD;10;(Host check timed out after 30.02 seconds)
[1452319200] CURRENT HOST STATE: SF220;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.245)
[1452319200] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1452319200] CURRENT HOST STATE: new-pc;DOWN;HARD;10;CRITICAL - Host Unreachable (192.168.0.205)
[1452319200] CURRENT SERVICE STATE: Customer-Service;C:\ Drive Space;OK;HARD;1;c:\ - total: 74.43 Gb - used: 46.04 Gb (62%) - free 28.39 Gb (38%)
[1452319200] CURRENT SERVICE STATE: Customer-Service;CPU Load;OK;HARD;1;CPU Load 1% (5 min average)
[1452319200] CURRENT SERVICE STATE: Customer-Service;Explorer;OK;HARD;1;explorer.exe: Running
[1452319200] CURRENT SERVICE STATE: Customer-Service;Memory Usage;OK;HARD;1;Memory usage: total:5116.86 MB - used: 2792.18 MB (55%) - free: 2324.68 MB (45%)
[1452319200] CURRENT SERVICE STATE: Customer-Service;NSClient++ Version;OK;HARD;1;NSClient++ 0,4,1,73 2012-12-17
[1452319200] CURRENT SERVICE STATE: Customer-Service;Uptime;OK;HARD;1;System Uptime - 3 day(s) 4 hour(s) 28 minute(s)
[1452319200] CURRENT SERVICE STATE: Customer-Service;W35VC;CRITICAL;HARD;3;W3SVC: Not found
[1452319200] CURRENT SERVICE STATE: OfficeCloset;C:\ Drive Space;OK;HARD;1;c:\ - total: 232.35 Gb - used: 183.06 Gb (79%) - free 49.28 Gb (21%)
[1452319200] CURRENT SERVICE STATE: OfficeCloset;CPU Load;OK;HARD;1;CPU Load 15% (5 min average)
[1452319200] CURRENT SERVICE STATE: OfficeCloset;Explorer;OK;HARD;1;explorer.exe: Running
[1452319200] CURRENT SERVICE STATE: OfficeCloset;Memory Usage;OK;HARD;1;Memory usage: total:16315.38 MB - used: 7461.09 MB (46%) - free: 8854.29 MB (54%)
[1452319200] CURRENT SERVICE STATE: OfficeCloset;NSClient++ Version;OK;HARD;1;NSClient++ 0,4,1,73 2012-12-17
[1452319200] CURRENT SERVICE STATE: OfficeCloset;Uptime;OK;HARD;1;System Uptime - 3 day(s) 13 hour(s) 48 minute(s)
[1452319200] CURRENT SERVICE STATE: OfficeCloset;W35VC;CRITICAL;HARD;3;W3SVC: Not found
[1452319200] CURRENT SERVICE STATE: Ownerslist11;C:\ Drive Space;OK;HARD;1;c:\ - total: 465.66 Gb - used: 39.17 Gb (8%) - free 426.49 Gb (92%)
[1452319200] CURRENT SERVICE STATE: Ownerslist11;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1452319200] CURRENT SERVICE STATE: Ownerslist11;Explorer;CRITICAL;HARD;3;Explorer.exe: not running
[1452319200] CURRENT SERVICE STATE: Ownerslist11;Memory Usage;OK;HARD;1;Memory usage: total:3986.53 MB - used: 2089.10 MB (52%) - free: 1897.43 MB (48%)
[1452319200] CURRENT SERVICE STATE: Ownerslist11;NSClient++ Version;OK;HARD;1;NSClient++ 0.4.4.15 2015-11-25
[1452319200] CURRENT SERVICE STATE: Ownerslist11;Uptime;OK;HARD;1;System Uptime - 17 day(s) 1 hour(s) 15 minute(s)
[1452319200] CURRENT SERVICE STATE: Ownerslist11;W35VC;UNKNOWN;HARD;3;Failed to open service W3SVC: 1060: The specified service does not exist as an installed service.
[1452319200] CURRENT SERVICE STATE: Ownerslist12;C:\ Drive Space;CRITICAL;HARD;3;Name or service not known
[1452319200] CURRENT SERVICE STATE: Ownerslist12;CPU Load;CRITICAL;HARD;3;Name or service not known
[1452319200] CURRENT SERVICE STATE: Ownerslist12;Explorer;CRITICAL;HARD;3;Name or service not known
[1452319200] CURRENT SERVICE STATE: Ownerslist12;Memory Usage;CRITICAL;HARD;3;Name or service not known
[1452319200] CURRENT SERVICE STATE: Ownerslist12;NSClient++ Version;CRITICAL;HARD;3;Name or service not known
[1452319200] CURRENT SERVICE STATE: Ownerslist12;Uptime;CRITICAL;HARD;3;Name or service not known
[1452319200] CURRENT SERVICE STATE: Ownerslist12;W35VC;CRITICAL;HARD;3;Name or service not known
